date,click_count,preview_count
2021-08-19,9207,3788
2021-08-20,8508,4222
2021-08-21,8071,4663
2021-08-22,7854,4349
2021-08-23,7315,3847
2021-08-24,7301,3840
2021-08-25,7476,3822
